Time;x;y;z;LookX;LookY;LookZ
0;10000;2000;3000;10000;2000;0
50;10000;2020;3000;10000;2020;0
100;10000;2040;3000;10000;2040;0
150;10000;2060;3000;10000;2060;0
200;10000;2080;3000;10000;2080;0
250;10000;2100;3000;10000;2100;0
300;10000;2120;3000;10000;2120;0
350;10000;2140;3000;10000;2140;0
400;10000;2160;3000;10000;2160;0
450;10000;2180;3000;10000;2180;0
500;10000;2200;3000;10000;2200;0
550;10000;2220;3000;10000;2220;0
600;10000;2240;3000;10000;2240;0
650;10000;2260;3000;10000;2260;0
700;10000;2280;3000;10000;2280;0
750;10000;2300;3000;10000;2300;0
800;10000;2320;3000;10000;2320;0
850;10000;2340;3000;10000;2340;0
900;10000;2360;3000;10000;2360;0
950;10000;2380;3000;10000;2380;0
1000;10000;2400;3000;10000;2400;0
1050;10000;2420;3000;10000;2420;0
1100;10000;2440;3000;10000;2440;0
1150;10000;2460;3000;10000;2460;0
1200;10000;2480;3000;10000;2480;0
1250;10000;2500;3000;10000;2500;0
1300;10000;2520;3000;10000;2520;0
1350;10000;2540;3000;10000;2540;0
1400;10000;2560;3000;10000;2560;0
1450;10000;2580;3000;10000;2580;0
1500;10000;2600;3000;10000;2600;0
1550;10000;2620;3000;10000;2620;0
1600;10000;2640;3000;10000;2640;0
1650;10000;2660;3000;10000;2660;0
1700;10000;2680;3000;10000;2680;0
1750;10000;2700;3000;10000;2700;0
1800;10000;2720;3000;10000;2720;0
1850;10000;2740;3000;10000;2740;0
1900;10000;2760;3000;10000;2760;0
1950;10000;2780;3000;10000;2780;0
2000;10000;2800;3000;10000;2800;0
2050;10000;2820;3000;10000;2820;0
2100;10000;2840;3000;10000;2840;0
2150;10000;2860;3000;10000;2860;0
2200;10000;2880;3000;10000;2880;0
2250;10000;2900;3000;10000;2900;0
2300;10000;2920;3000;10000;2920;0
2350;10000;2940;3000;10000;2940;0
2400;10000;2960;3000;10000;2960;0
2450;10000;2980;3000;10000;2980;0
2500;10000;3000;3000;10000;3000;0
2550;10000;3020;3000;10000;3020;0
2600;10000;3040;3000;10000;3040;0
2650;10000;3060;3000;10000;3060;0
2700;10000;3080;3000;10000;3080;0
2750;10000;3100;3000;10000;3100;0
2800;10000;3120;3000;10000;3120;0
2850;10000;3140;3000;10000;3140;0
2900;10000;3160;3000;10000;3160;0
2950;10000;3180;3000;10000;3180;0
3000;10000;3200;3000;10000;3200;0
3050;10000;3220;3000;10000;3220;0
3100;10000;3240;3000;10000;3240;0
3150;10000;3260;3000;10000;3260;0
3200;10000;3280;3000;10000;3280;0
3250;10000;3300;3000;10000;3300;0
3300;10000;3320;3000;10000;3320;0
3350;10000;3340;3000;10000;3340;0
3400;10000;3360;3000;10000;3360;0
3450;10000;3380;3000;10000;3380;0
3500;10000;3400;3000;10000;3400;0
3550;10000;3420;3000;10000;3420;0
3600;10000;3440;3000;10000;3440;0
3650;10000;3460;3000;10000;3460;0
3700;10000;3480;3000;10000;3480;0
3750;10000;3500;3000;10000;3500;0
3800;10000;3520;3000;10000;3520;0
3850;10000;3540;3000;10000;3540;0
3900;10000;3560;3000;10000;3560;0
3950;10000;3580;3000;10000;3580;0
4000;10000;3600;3000;10000;3600;0
4050;10000;3620;3000;10000;3620;0
4100;10000;3640;3000;10000;3640;0
4150;10000;3660;3000;10000;3660;0
4200;10000;3680;3000;10000;3680;0
4250;10000;3700;3000;10000;3700;0
4300;10000;3720;3000;10000;3720;0
4350;10000;3740;3000;10000;3740;0
4400;10000;3760;3000;10000;3760;0
4450;10000;3780;3000;10000;3780;0
4500;10000;3800;3000;10000;3800;0
4550;10000;3820;3000;10000;3820;0
4600;10000;3840;3000;10000;3840;0
4650;10000;3860;3000;10000;3860;0
4700;10000;3880;3000;10000;3880;0
4750;10000;3900;3000;10000;3900;0
4800;10000;3920;3000;10000;3920;0
4850;10000;3940;3000;10000;3940;0
4900;10000;3960;3000;10000;3960;0
4950;10000;3980;3000;10000;3980;0
5000;10000;4000;3000;10000;4000;0
5050;10000;4020;3000;10000;4020;0
5100;10000;4040;3000;10000;4040;0
5150;10000;4060;3000;10000;4060;0
5200;10000;4080;3000;10000;4080;0
5250;10000;4100;3000;10000;4100;0
5300;10000;4120;3000;10000;4120;0
5350;10000;4140;3000;10000;4140;0
5400;10000;4160;3000;10000;4160;0
5450;10000;4180;3000;10000;4180;0
5500;10000;4200;3000;10000;4200;0
5550;10000;4220;3000;10000;4220;0
5600;10000;4240;3000;10000;4240;0
5650;10000;4260;3000;10000;4260;0
5700;10000;4280;3000;10000;4280;0
5750;10000;4300;3000;10000;4300;0
5800;10000;4320;3000;10000;4320;0
5850;10000;4340;3000;10000;4340;0
5900;10000;4360;3000;10000;4360;0
5950;10000;4380;3000;10000;4380;0
6000;10000;4400;3000;10000;4400;0
6050;10000;4420;3000;10000;4420;0
6100;10000;4440;3000;10000;4440;0
6150;10000;4460;3000;10000;4460;0
6200;10000;4480;3000;10000;4480;0
6250;10000;4500;3000;10000;4500;0
6300;10000;4520;3000;10000;4520;0
6350;10000;4540;3000;10000;4540;0
6400;10000;4560;3000;10000;4560;0
6450;10000;4580;3000;10000;4580;0
6500;10000;4600;3000;10000;4600;0
6550;10000;4620;3000;10000;4620;0
6600;10000;4640;3000;10000;4640;0
6650;10000;4660;3000;10000;4660;0
6700;10000;4680;3000;10000;4680;0
6750;10000;4700;3000;10000;4700;0
6800;10000;4720;3000;10000;4720;0
6850;10000;4740;3000;10000;4740;0
6900;10000;4760;3000;10000;4760;0
6950;10000;4780;3000;10000;4780;0
7000;10000;4800;3000;10000;4800;0
7050;10000;4820;3000;10000;4820;0
7100;10000;4840;3000;10000;4840;0
7150;10000;4860;3000;10000;4860;0
7200;10000;4880;3000;10000;4880;0
7250;10000;4900;3000;10000;4900;0
7300;10000;4920;3000;10000;4920;0
7350;10000;4940;3000;10000;4940;0
7400;10000;4960;3000;10000;4960;0
7450;10000;4980;3000;10000;4980;0
7500;10000;5000;3000;10000;5000;0
7550;10000;5020;3000;10000;5020;0
7600;10000;5040;3000;10000;5040;0
7650;10000;5060;3000;10000;5060;0
7700;10000;5080;3000;10000;5080;0
7750;10000;5100;3000;10000;5100;0
7800;10000;5120;3000;10000;5120;0
7850;10000;5140;3000;10000;5140;0
7900;10000;5160;3000;10000;5160;0
7950;10000;5180;3000;10000;5180;0
8000;10000;5200;3000;10000;5200;0
8050;10000;5220;3000;10000;5220;0
8100;10000;5240;3000;10000;5240;0
8150;10000;5260;3000;10000;5260;0
8200;10000;5280;3000;10000;5280;0
8250;10000;5300;3000;10000;5300;0
8300;10000;5320;3000;10000;5320;0
8350;10000;5340;3000;10000;5340;0
8400;10000;5360;3000;10000;5360;0
8450;10000;5380;3000;10000;5380;0
8500;10000;5400;3000;10000;5400;0
8550;10000;5420;3000;10000;5420;0
8600;10000;5440;3000;10000;5440;0
8650;10000;5460;3000;10000;5460;0
8700;10000;5480;3000;10000;5480;0
8750;10000;5500;3000;10000;5500;0
8800;10000;5520;3000;10000;5520;0
8850;10000;5540;3000;10000;5540;0
8900;10000;5560;3000;10000;5560;0
8950;10000;5580;3000;10000;5580;0
9000;10000;5600;3000;10000;5600;0
9050;10000;5620;3000;10000;5620;0
9100;10000;5640;3000;10000;5640;0
9150;10000;5660;3000;10000;5660;0
9200;10000;5680;3000;10000;5680;0
9250;10000;5700;3000;10000;5700;0
9300;10000;5720;3000;10000;5720;0
9350;10000;5740;3000;10000;5740;0
9400;10000;5760;3000;10000;5760;0
9450;10000;5780;3000;10000;5780;0
9500;10000;5800;3000;10000;5800;0
9550;10000;5820;3000;10000;5820;0
9600;10000;5840;3000;10000;5840;0
9650;10000;5860;3000;10000;5860;0
9700;10000;5880;3000;10000;5880;0
9750;10000;5900;3000;10000;5900;0
9800;10000;5920;3000;10000;5920;0
9850;10000;5940;3000;10000;5940;0
9900;10000;5960;3000;10000;5960;0
9950;10000;5980;3000;10000;5980;0
10000;10000;6000;3000;10000;6000;0
10050;10000;6020;3000;10000;6020;0
10100;10000;6040;3000;10000;6040;0
10150;10000;6060;3000;10000;6060;0
10200;10000;6080;3000;10000;6080;0
10250;10000;6100;3000;10000;6100;0
10300;10000;6120;3000;10000;6120;0
10350;10000;6140;3000;10000;6140;0
10400;10000;6160;3000;10000;6160;0
10450;10000;6180;3000;10000;6180;0
10500;10000;6200;3000;10000;6200;0
10550;10000;6220;3000;10000;6220;0
10600;10000;6240;3000;10000;6240;0
10650;10000;6260;3000;10000;6260;0
10700;10000;6280;3000;10000;6280;0
10750;10000;6300;3000;10000;6300;0
10800;10000;6320;3000;10000;6320;0
10850;10000;6340;3000;10000;6340;0
10900;10000;6360;3000;10000;6360;0
10950;10000;6380;3000;10000;6380;0
11000;10000;6400;3000;10000;6400;0
11050;10000;6420;3000;10000;6420;0
11100;10000;6440;3000;10000;6440;0
11150;10000;6460;3000;10000;6460;0
