# Time;x;y;z;LookX;LookY;LookZ
0.0;521056.0;4674299.0;434.0;521046.0;4674309.0;434.0
16.0;521053.8968968969;4674300.358358358;434.26626626626626;521043.8968968969;4674310.358358358;434.26626626626626
32.0;521051.79379379377;4674301.716716717;434.5325325325325;521041.79379379377;4674311.716716717;434.5325325325325
48.0;521049.6906906907;4674303.075075075;434.79879879879877;521039.6906906907;4674313.075075075;434.79879879879877
64.0;521047.5875875876;4674304.433433433;435.0650650650651;521037.5875875876;4674314.433433433;435.0650650650651
80.0;521045.4844844845;4674305.791791792;435.33133133133134;521035.4844844845;4674315.791791792;435.33133133133134
96.0;521043.38138138136;4674307.15015015;435.5975975975976;521033.38138138136;4674317.15015015;435.5975975975976
112.0;521041.2782782783;4674308.508508508;435.86386386386386;521031.2782782783;4674318.508508508;435.86386386386386
128.0;521039.1751751752;4674309.866866867;436.1301301301301;521029.1751751752;4674319.866866867;436.1301301301301
144.0;521037.0720720721;4674311.225225225;436.39639639639637;521027.0720720721;4674321.225225225;436.39639639639637
160.0;521034.96896896895;4674312.583583583;436.6626626626627;521024.96896896895;4674322.583583583;436.6626626626627
176.0;521032.86586586584;4674313.941941942;436.92892892892894;521022.86586586584;4674323.941941942;436.92892892892894
192.0;521030.7627627628;4674315.3003003;437.1951951951952;521020.7627627628;4674325.3003003;437.1951951951952
208.0;521028.65965965966;4674316.658658659;437.46146146146145;521018.65965965966;4674326.658658659;437.46146146146145
224.0;521026.55655655655;4674318.017017017;437.7277277277277;521016.55655655655;4674328.017017017;437.7277277277277
240.0;521024.45345345343;4674319.375375375;437.99399399399397;521014.45345345343;4674329.375375375;437.99399399399397
256.0;521022.3503503504;4674320.733733734;438.2602602602603;521012.3503503504;4674330.733733734;438.2602602602603
272.0;521020.24724724726;4674322.092092092;438.52652652652654;521010.24724724726;4674332.092092092;438.52652652652654
288.0;521018.14414414414;4674323.45045045;438.7927927927928;521008.14414414414;4674333.45045045;438.7927927927928
304.0;521016.041041041;4674324.808808809;439.05905905905905;521006.041041041;4674334.808808809;439.05905905905905
320.0;521013.9379379379;4674326.167167167;439.3253253253253;521003.9379379379;4674336.167167167;439.3253253253253
336.0;521011.83483483485;4674327.525525525;439.59159159159157;521001.83483483485;4674337.525525525;439.59159159159157
352.0;521009.73173173174;4674328.883883884;439.8578578578579;520999.73173173174;4674338.883883884;439.8578578578579
368.0;521007.6286286286;4674330.242242242;440.12412412412414;520997.6286286286;4674340.242242242;440.12412412412414
384.0;521005.5255255255;4674331.6006006;440.3903903903904;520995.5255255255;4674341.6006006;440.3903903903904
